Designator,Mid X,Mid Y,Rotation,Layer
R1,83.0,-93.08,270.0,top
R2,83.0,-96.72,270.0,top
R3,83.0,-100.36,270.0,top
R4,83.0,-104.0,270.0,top
R5,83.0,-107.64,270.0,top
U1,178.18,-194.0,90.0,top
U10,162.0,-141.0,90.0,top
U11,163.925,-159.82,90.0,top
U12,156.625,-183.82,90.0,top
U13,194.515,-163.745,90.0,top
U14,117.18,-82.805,0.0,top
U15,222.8,-164.47,270.0,top
U16,191.0,-145.82,90.0,top
U17,224.525,-145.745,90.0,top
U18,248.6,-168.465,0.0,top
U19,262.8,-168.46,0.0,top
U2,73.0,-121.765,0.0,top
U20,254.445,-145.745,90.0,top
U21,280.8,-168.92,0.0,top
U22,286.185,-145.2,90.0,top
U23,295.8,-169.46,0.0,top
U24,311.8,-169.0,0.0,top
U25,326.8,-169.0,0.0,top
U26,318.345,-145.2,90.0,top
U27,353.0,-154.0,0.0,top
U28,354.0,-126.0,180.0,top
U29,335.82,-125.195,180.0,top
U3,114.345,-197.85,270.0,top
U30,353.8,-96.335,0.0,top
U31,342.175,-69.2,90.0,top
U32,314.51,-68.4,90.0,top
U33,286.175,-68.2,90.0,top
U34,331.2,-92.205,180.0,top
U35,313.2,-91.92,180.0,top
U36,297.38,-91.92,180.0,top
U37,279.2,-90.92,180.0,top
U38,289.0,-117.0,270.0,top
U39,250.465,-77.2,90.0,top
U4,92.0,-138.0,0.0,top
U40,204.82,-82.995,180.0,top
U41,226.82,-82.535,180.0,top
U42,251.535,-93.8,270.0,top
U43,253.735,-107.18,270.0,top
U44,224.275,-108.18,270.0,top
U45,188.0,-108.0,270.0,top
U46,173.0,-68.16,0.0,top
U47,173.0,-76.0,0.0,top
U48,173.0,-84.0,0.0,top
U49,173.0,-92.0,0.0,top
U5,100.0,-105.185,0.0,top
U50,78.8,-72.005,0.0,top
U51,137.65,-80.94,90.0,top
U52,137.025,-68.74,270.0,top
U53,99.8,-75.085,0.0,top
U54,103.0,-173.0,0.0,top
U6,85.0,-170.26,0.0,top
U7,135.555,-139.44,90.0,top
U8,135.095,-154.82,90.0,top
U9,161.0,-125.0,90.0,top
