Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.50mm,1,C,
"C2, C3, C4, C5, C6",C_Rect_L11.0mm_W4.2mm_P10.00mm_MKT,5,C,
"D1, D2, D3",LED_D3.0mm,3,LED,
"J1, J2, J3, J4",PinHeader_1x01_P2.54mm_Vertical,4,Conn_01x01_Pin,
"R1, R10, R11, R12, R13, R2, R3, R4, R5, R6, R7, R8, R9",0.4_pitch_resistor,13,R,
RV1,panel_mount_pot,1,R_Potentiometer,
SW1,SW_PUSH_6mm,1,SW_Push,
"SW2, SW3, SW4, SW5, SW6, SW7",2_pin_button,6,SW_Push,
"U1, U12, U13, U3, U9",PinHeader_1x02_P2.54mm_Vertical,5,~,
"U10, U11",crystal_dip_14,2,~,
U14,DIP-14_W7.62mm,1,~,
"U15, U16, U19, U20, U22",PinHeader_1x08_P2.54mm_Vertical,5,~,
U17,manual_clock_switch_side,1,~,
U18,PinHeader_1x03_P2.54mm_Vertical,1,~,
"U2, U4",DIP-16_W7.62mm,2,~,
U21,PinHeader_1x10_P2.54mm_Horizontal,1,~,
"U5, U6, U7, U8",PinHeader_1x16_P2.54mm_Vertical,4,~,
