Designator,Mid X,Mid Y,Rotation,Layer
C1,70.0,-113.500012,270.0,top
C2,111.0,-67.0,270.0,bottom
C3,75.5,-122.0,90.0,bottom
C4,111.22,-110.705,90.0,bottom
C5,140.0,-123.0,90.0,bottom
C6,73.5,-89.5,90.0,bottom
D1,149.9,-95.725,90.0,top
D2,168.735,-82.65,180.0,top
D3,168.735,-64.87,180.0,top
J1,146.865,-76.8,0.0,top
J2,110.365,-76.8,0.0,top
J3,94.365,-92.96,0.0,top
J4,173.365,-112.96,0.0,top
R1,161.865,-110.46,90.0,bottom
R10,62.0,-82.0,0.0,bottom
R11,62.0,-95.5,0.0,bottom
R12,62.0,-109.0,0.0,bottom
R13,62.0,-122.5,0.0,bottom
R2,83.365,-84.96,270.0,bottom
R3,69.0,-103.0,180.0,bottom
R4,166.98,-95.46,270.0,bottom
R5,73.5,-103.0,180.0,bottom
R6,172.55,-77.57,270.0,bottom
R7,172.55,-69.95,270.0,bottom
R8,62.0,-55.0,0.0,bottom
R9,62.0,-68.5,0.0,bottom
RV1,85.365,-73.46,270.0,top
SW1,173.365,-106.46,0.0,top
SW2,61.29,-55.1775,0.0,top
SW3,61.29,-68.6775,0.0,top
SW4,61.29,-82.1775,0.0,top
SW5,61.29,-95.6775,0.0,top
SW6,61.29,-109.1775,0.0,top
SW7,61.29,-122.6775,0.0,top
U1,110.64,-98.0,90.0,top
U10,101.06,-116.805,90.0,top
U11,86.455,-116.805,90.0,top
U12,110.64,-95.46,90.0,top
U13,110.645,-92.92,90.0,top
U14,82.365,-95.96,180.0,bottom
U15,166.9,-99.46,90.0,top
U16,166.675,-92.04,90.0,top
U17,157.5,-53.5,0.0,top
U18,145.865,-107.485,0.0,top
U19,162.39,-73.745,0.0,top
U2,124.785,-66.7,90.0,bottom
U20,81.295,-57.5,90.0,top
U21,161.5,-130.0,270.0,top
U22,121.875,-57.5,90.0,top
U3,110.635,-100.54,90.0,top
U4,127.0,-123.96,270.0,bottom
U5,137.255,-95.85,0.0,top
U6,120.65,-95.85,0.0,top
U7,139.795,-95.85,0.0,top
U8,118.11,-95.85,0.0,top
U9,138.53,-74.26,90.0,top
