Designator,Mid X,Mid Y,Rotation,Layer
D1,161.695,-132.42,0.0,top
D2,167.195,-132.42,0.0,top
D3,172.735,-132.42,0.0,top
D4,178.195,-132.42,0.0,top
R10,240.0,-59.62,270.0,top
R11,240.0,-57.08,270.0,top
R12,240.0,-54.54,270.0,top
R13,240.0,-52.0,270.0,top
R14,240.0,-69.78,270.0,top
R15,240.0,-72.32,270.0,top
R16,240.0,-74.86,270.0,top
R17,240.0,-77.4,270.0,top
R18,240.0,-79.94,270.0,top
R19,240.0,-82.48,270.0,top
R2,142.24,-130.835,270.0,top
R20,240.0,-85.02,270.0,top
R21,240.0,-87.56,270.0,top
R22,240.0,-90.1,270.0,top
R3,123.32,-89.915,0.0,top
R4,240.0,-67.24,270.0,top
R5,106.32,-71.835,270.0,top
R6,123.32,-71.835,90.0,top
R7,157.0,-125.42,180.0,top
R8,240.0,-64.7,270.0,top
R9,240.0,-62.16,270.0,top
U1,86.32,-62.59,180.0,top
U10,106.495,-97.655,90.0,top
U11,162.0,-145.42,270.0,top
U12,121.12,-129.84,0.0,top
U13,182.5,-105.42,0.0,top
U14,146.12,-88.92,0.0,top
U15,201.0,-94.42,0.0,top
U16,109.235,-80.635,270.0,top
U17,231.0,-82.47,0.0,top
U18,181.18,-66.42,0.0,top
U19,215.8,-98.705,0.0,top
U2,86.32,-105.755,0.0,top
U20,132.5,-88.92,0.0,top
U21,196.5,-54.42,0.0,top
U22,240.2,-29.42,90.0,bottom
U23,217.77,-128.71,0.0,top
U24,212.5,-58.92,0.0,top
U25,217.77,-136.71,0.0,top
U3,184.58,-29.42,270.0,top
U4,99.12,-128.84,0.0,top
U5,112.505,-39.035,90.0,top
U6,166.3,-58.605,0.0,top
U7,109.595,-63.015,270.0,top
U8,137.82,-53.335,180.0,top
U9,167.5,-98.305,0.0,top
