Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D4.0mm_P2.00mm,1,C,
"D1, D2, D3",LED_D3.0mm,3,LED,
"R1, R17, R18, R19, R2, R3, R4, R5, R6",0.4_pitch_resistor,9,R,
U1,PinHeader_1x16_P2.54mm_Vertical,1,~,
"U14, U26",DIP-28_W15.24mm,2,~,
"U15, U29, U30, U45, U46, U47, U48, U49, U5, U53, U54, U6",DIP-14_W7.62mm,12,~,
"U16, U3, U31, U32, U43, U44, U51, U52",DIP-20_W7.62mm,8,~,
"U17, U25, U27, U28, U4",DIP-16_W7.62mm,5,~,
U2,PinHeader_1x03_P2.54mm_Vertical,1,~,
"U34, U35, U36, U37, U38, U39, U40, U41, U42",jumper,9,~,
U50,PinHeader_1x13_P2.54mm_Vertical,1,~,
