Designator,Footprint,Quantity,Value,LCSC Part #
J1,BarrelJack_Horizontal,1,Barrel_Jack,
"R1, R10, R11, R13, R14, R2, R3, R4, R5, R6, R7, R8, R9",0.4_pitch_resistor,13,1k,
U1,PinHeader_1x11_P2.54mm_Vertical,1,~,
"U10, U11, U12, U13",DIP-16_W7.62mm,4,~,
"U14, U16, U23, U25, U28, U30, U31, U8, U9",DIP-14_W7.62mm,9,~,
U15,DIP-20_W7.62mm,1,~,
"U17, U18, U19, U20, U21, U22, U26, U27, U32, U33",jumper,10,~,
"U2, U24, U3, U4, U5, U6, U7",PinHeader_1x23_P2.54mm_Vertical,7,~,
U29,TO-220-3_Vertical,1,L7805,
U34,PinHeader_1x07_P2.54mm_Vertical,1,~,
