Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2, D3, D4",LED_D4.0mm,4,LED,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R3, R4, R5, R6, R7, R8, R9",0.4_pitch_resistor,21,10k,
U1,PinHeader_1x23_P2.54mm_Vertical,1,~,
"U10, U13, U15, U18, U21",DIP-16_W7.62mm,5,~,
U11,PinHeader_1x23_P2.54mm_Horizontal,1,~,
"U12, U14, U16, U20, U4",DIP-14_W7.62mm,5,~,
U17,PinHeader_1x39_P2.54mm_Vertical,1,~,
"U19, U24, U5, U6, U7, U8, U9",DIP-20_W7.62mm,7,~,
U2,PinHeader_1x11_P2.54mm_Vertical,1,~,
U22,PinHeader_1x04_P2.54mm_Vertical,1,~,
"U23, U25",jumper,2,~,
U3,PinHeader_1x24_P2.54mm_Vertical,1,~,
