Designator,Mid X,Mid Y,Rotation,Layer
R1,380.88,-363.0,0.0,top
R2,384.52,-363.0,0.0,top
R3,388.16,-363.0,0.0,top
R4,391.8,-363.0,0.0,top
R5,395.44,-363.0,0.0,top
R6,399.08,-363.0,0.0,top
R7,402.72,-363.0,0.0,top
R8,406.36,-363.0,0.0,top
R9,410.0,-363.0,0.0,top
U1,372.87,-365.505,0.0,top
U10,391.0,-413.0,270.0,top
U11,437.0,-439.0,270.0,top
U12,410.175,-437.2,90.0,top
U13,425.0,-415.0,90.0,top
U14,429.0,-395.8,270.0,top
U15,397.275,-395.8,270.0,top
U16,494.0,-396.0,90.0,top
U17,499.66,-418.78,90.0,top
U18,553.35,-325.37,0.0,top
U19,553.27,-333.37,0.0,top
U2,539.0,-435.0,90.0,top
U20,553.27,-341.29,0.0,top
U21,553.35,-349.37,0.0,top
U22,553.35,-357.37,0.0,top
U23,553.35,-365.29,0.0,top
U24,464.075,-367.8,270.0,top
U25,524.355,-395.8,270.0,top
U26,554.885,-395.82,90.0,top
U27,521.476,-317.83,0.0,top
U28,521.43,-325.91,0.0,top
U29,521.43,-333.91,0.0,top
U3,463.805,-395.58,90.0,top
U30,521.35,-341.91,0.0,top
U31,521.35,-349.91,0.0,top
U32,521.35,-357.91,0.0,top
U33,521.35,-365.91,0.0,top
U34,432.085,-352.2,90.0,top
U35,474.18,-318.005,0.0,top
U36,451.18,-331.545,0.0,top
U37,460.915,-292.18,270.0,top
U38,453.535,-309.18,270.0,top
U39,422.195,-309.18,270.0,top
U4,390.455,-292.18,270.0,top
U40,424.735,-330.18,270.0,top
U41,395.465,-340.2,90.0,top
U42,471.18,-342.545,0.0,top
U43,521.43,-308.91,0.0,top
U44,390.0,-322.0,270.0,top
U46,389.0,-307.0,270.0,top
U47,421.915,-291.18,270.0,top
U5,384.0,-437.0,0.0,top
U6,431.0,-368.82,90.0,top
U7,464.38,-439.0,90.0,top
U8,489.0,-441.0,270.0,top
U9,454.0,-415.0,90.0,top
