Designator,Mid X,Mid Y,Rotation,Layer
J1,95.867,-152.865,90.0,top
R1,110.045,-72.845,180.0,top
R10,210.045,-105.88,0.0,top
R11,210.045,-72.86,180.0,top
R13,230.125,-105.88,0.0,top
R14,230.125,-72.86,180.0,top
R2,130.045,-105.865,0.0,top
R3,130.045,-72.86,180.0,top
R4,110.045,-105.88,0.0,top
R5,149.92,-105.725,0.0,top
R6,170.045,-105.88,0.0,top
R7,170.045,-72.86,180.0,top
R8,190.045,-105.88,0.0,top
R9,190.045,-72.86,180.0,top
U1,115.125,-146.52,0.0,top
U10,181.155,-145.25,90.0,top
U11,157.01,-145.25,90.0,top
U12,132.895,-145.25,90.0,top
U13,205.27,-145.26,90.0,top
U14,59.89,-136.3,180.0,top
U15,99.25,-89.37,180.0,top
U16,117.015,-51.27,90.0,top
U17,84.635,-70.955,0.0,top
U18,84.635,-78.575,0.0,top
U19,84.635,-86.195,0.0,top
U2,215.125,-103.355,180.0,top
U20,84.635,-93.815,0.0,top
U21,84.635,-101.435,0.0,top
U22,84.635,-109.055,0.0,top
U23,140.505,-51.275,90.0,top
U24,235.205,-103.355,180.0,top
U25,207.18,-50.005,0.0,top
U26,84.635,-119.015,0.0,top
U27,84.635,-126.735,0.0,top
U28,59.88,-80.425,180.0,top
U29,100.764,-126.957,90.0,top
U3,195.125,-103.355,180.0,top
U30,59.87,-53.125,0.0,top
U31,59.88,-108.365,180.0,top
U32,84.635,-55.615,0.0,top
U33,84.635,-63.335,0.0,top
U34,91.3,-46.82,90.0,top
U4,175.125,-103.355,180.0,top
U5,155.0,-103.2,180.0,top
U6,135.125,-103.355,180.0,top
U7,115.125,-103.34,180.0,top
U8,161.45,-50.0,0.0,top
U9,183.695,-49.365,90.0,top
