Designator,Mid X,Mid Y,Rotation,Layer
R1,45.212,-153.162,0.0,bottom
R2,51.054,-163.322,0.0,bottom
R3,59.69,-141.224,180.0,bottom
R4,47.498,-136.398,0.0,bottom
R5,58.928,-160.782,0.0,bottom
R6,53.34,-128.524,0.0,bottom
U1,105.908,-29.703,0.0,top
U10,219.456,-75.946,270.0,top
U11,181.996,-75.946,270.0,top
U12,77.465,-55.636,90.0,top
U13,226.366,-131.796,0.0,top
U14,43.434,-79.248,0.0,top
U15,84.852,-87.29,0.0,top
U16,106.426,-93.218,270.0,top
U17,132.8,-90.175,0.0,top
U18,55.367,-101.61,90.0,top
U19,225.858,-100.808,0.0,top
U2,84.0,-34.0,270.0,top
U20,143.764,-63.5,90.0,top
U21,164.846,-46.99,90.0,top
U22,165.862,-28.702,90.0,top
U23,204.963,-29.982,90.0,top
U24,91.435,-142.23,270.0,top
U25,76.449,-122.0,270.0,top
U26,114.37,-158.429,0.0,top
U27,91.694,-161.0,270.0,top
U28,101.465,-122.82,90.0,top
U29,195.254,-106.468,270.0,top
U3,45.052,-52.535,180.0,top
U30,161.793,-98.816,90.0,top
U31,122.682,-124.0,0.0,top
U32,195.224,-97.668,270.0,top
U33,208.3625,-52.8725,90.0,top
U34,142.494,-118.364,0.0,top
U35,142.494,-125.9315,0.0,top
U36,142.374,-133.814,0.0,top
U37,142.454,-141.814,0.0,top
U38,142.454,-149.814,0.0,top
U39,185.726,-121.638,0.0,top
U4,64.516,-78.486,0.0,top
U40,185.726,-129.638,0.0,top
U41,185.726,-137.508,0.0,top
U42,185.726,-145.138,0.0,top
U43,185.726,-152.878,0.0,top
U44,185.646,-160.768,0.0,top
U45,142.494,-159.766,0.0,top
U46,142.494,-167.766,0.0,top
U47,127.69,-157.164,0.0,top
U5,38.8,-137.272,180.0,top
U6,125.8,-33.725,0.0,top
U7,112.0,-64.0,90.0,top
U8,50.805,-29.2,270.0,top
U9,70.612,-156.967,0.0,top
