Designator,Mid X,Mid Y,Rotation,Layer
D1,73.34725,-34.05225,180.0,top
R1,181.15725,-130.47225,0.0,top
R10,80.07725,-60.05225,270.0,top
R2,184.15725,-130.47225,0.0,top
R3,187.15725,-130.47225,0.0,top
R4,190.15725,-130.47225,0.0,top
R5,193.15725,-130.47225,0.0,top
R6,196.15725,-130.47225,0.0,top
R7,199.15725,-130.47225,0.0,top
R8,201.93725,-130.47225,0.0,top
R9,80.07725,-56.41225,270.0,top
U1,207.65725,-98.55225,0.0,top
U10,103.15225,-68.47725,270.0,top
U11,135.15725,-62.05225,270.0,top
U12,110.65725,-117.47225,90.0,top
U13,164.15725,-119.05225,90.0,top
U14,132.15725,-98.25225,90.0,top
U15,130.49725,-150.82225,270.0,top
U17,122.73725,-150.82225,270.0,top
U18,114.86725,-150.82225,270.0,top
U19,179.15725,-64.82225,0.0,top
U2,64.92225,-86.70225,0.0,top
U20,75.73725,-150.82225,270.0,top
U22,106.99725,-150.97225,270.0,top
U23,98.99725,-150.97225,270.0,top
U24,90.99725,-150.97225,270.0,top
U25,83.36725,-150.97225,270.0,top
U3,220.77225,-137.70225,0.0,top
U32,107.15725,-46.55225,180.0,top
U33,134.70225,-42.86725,180.0,top
U38,91.15725,-43.05225,0.0,top
U4,164.15725,-137.05225,0.0,top
U5,166.13725,-49.58225,0.0,top
U6,87.07225,-118.27225,270.0,top
U7,198.41725,-55.93225,0.0,top
U8,166.45725,-81.23725,0.0,top
U9,141.15725,-122.05225,0.0,top
