Designator,Mid X,Mid Y,Rotation,Layer
C1,165.201,-144.849,0.0,top
R1,163.656,-80.285,90.0,top
R10,98.22,-55.7,270.0,top
R11,98.3,-61.2,270.0,top
R12,92.3,-110.3,0.0,top
R2,155.549,-142.055,0.0,top
R3,160.883,-129.101,0.0,top
R4,147.675,-137.525,0.0,top
R5,155.295,-123.513,0.0,top
R6,163.402,-84.857,90.0,top
R7,162.412,-105.225,90.0,top
R8,162.666,-110.559,90.0,top
R9,92.3,-97.02,180.0,top
U1,84.9049,-87.1234,180.0,top
U10,131.0,-63.0,0.0,top
U11,148.0,-63.0,0.0,top
U12,128.36,-140.525,270.0,top
U13,142.9,-115.6,0.0,top
U14,140.0,-87.525,0.0,top
U15,120.62,-140.525,270.0,top
U16,113.0,-140.525,270.0,top
U17,123.265,-115.7,90.0,top
U18,105.38,-140.525,270.0,top
U19,116.3,-63.8,0.0,top
U2,100.6,-75.7,0.0,top
U20,97.76,-140.525,270.0,top
U21,90.14,-140.525,270.0,top
U3,104.4,-107.241,0.0,top
U4,169.265,-128.085,0.0,top
U5,162.915,-96.325,270.0,top
U6,167.6,-61.875,180.0,top
U7,172.8,-82.825,0.0,top
U8,172.572,-108.004,0.0,top
U9,123.1,-95.7,0.0,top
