Designator,Mid X,Mid Y,Rotation,Layer
C1,632.067599,-467.995,0.0,top
D1,616.28,-397.51,90.0,top
D2,621.83,-397.51,90.0,top
D3,627.38,-397.51,90.0,top
Q1,580.247,-399.438,180.0,top
Q2,568.182,-399.438,180.0,top
Q3,556.117,-399.438,180.0,top
Q4,544.052,-399.438,180.0,top
Q5,531.987,-399.438,180.0,top
Q6,519.922,-399.438,180.0,top
Q7,507.857,-399.438,180.0,top
Q9,592.312,-399.438,180.0,top
R1,625.475,-476.885,90.0,top
R10,411.48,-250.19,270.0,top
R11,686.435,-254.635,270.0,top
R12,411.48,-311.15,270.0,top
R13,687.705,-316.865,270.0,top
R17,574.04,-421.935,90.0,top
R18,574.04,-418.295,90.0,top
R19,574.04,-414.655,90.0,top
R2,625.475,-473.075,270.0,top
R20,574.04,-411.015,90.0,top
R3,620.395,-464.185,0.0,top
R4,625.475,-464.185,0.0,top
R5,408.94,-130.81,270.0,top
R6,687.07,-133.985,270.0,top
R8,410.21,-189.865,270.0,top
R9,687.07,-195.58,270.0,top
SW1,595.62,-414.98,0.0,top
U1,398.78,-419.735,0.0,top
U10,687.06,-219.715,0.0,top
U11,485.956,-341.295,0.0,top
U12,411.47,-273.055,0.0,top
U13,686.425,-278.77,0.0,top
U14,455.93,-443.23,270.0,top
U15,643.255,-469.9,0.0,top
U16,424.815,-467.36,0.0,top
U17,509.895,-445.12,0.0,top
U18,411.47,-334.015,0.0,top
U19,687.695,-339.095,0.0,top
U2,398.78,-443.85,0.0,top
U20,611.324,-159.3875,0.0,top
U21,611.324,-220.3275,0.0,top
U22,611.324,-281.2875,0.0,top
U23,611.324,-342.2475,0.0,top
U24,679.45,-389.89,270.0,top
U25,545.455,-455.915,0.0,top
U26,430.535,-407.025,0.0,top
U27,516.89,-474.99,90.0,top
U28,471.17,-414.02,0.0,top
U29,605.145,-468.635,0.0,top
U3,410.835,-408.3,0.0,top
U30,628.64,-441.965,0.0,top
U31,489.585,-457.835,0.0,top
U32,411.48,-440.055,0.0,top
U33,549.895,-412.125,90.0,top
U34,688.34,-474.445,0.0,top
U35,688.34,-413.485,0.0,top
U36,688.34,-421.105,0.0,top
U37,688.34,-428.725,0.0,top
U38,688.34,-436.345,0.0,top
U39,688.34,-443.965,0.0,top
U4,408.93,-153.675,0.0,top
U40,688.34,-451.585,0.0,top
U41,688.34,-459.205,0.0,top
U42,688.34,-466.825,0.0,top
U43,453.38,-413.38,0.0,top
U44,463.55,-470.535,90.0,top
U45,638.8,-420.375,0.0,top
U46,490.21,-412.12,0.0,top
U47,512.45,-417.205,90.0,top
U48,650.865,-398.15,0.0,top
U49,531.485,-432.44,0.0,top
U5,485.956,-158.415,0.0,top
U51,563.88,-452.6,0.0,top
U52,584.19,-455.925,0.0,top
U53,608.955,-437.515,0.0,top
U54,617.845,-414.025,0.0,top
U6,686.425,-158.755,0.0,top
U7,485.956,-219.375,0.0,top
U8,410.2,-212.095,0.0,top
U9,485.956,-280.335,0.0,top
