Designator,Mid X,Mid Y,Rotation,Layer
C1,621.272599,-466.725,0.0,top
D1,554.99,-394.335,90.0,top
D2,560.54,-394.335,90.0,top
D3,566.09,-394.335,90.0,top
R1,614.68,-475.615,90.0,top
R17,539.115,-408.135,90.0,top
R18,539.115,-404.495,90.0,top
R19,539.115,-400.855,90.0,top
R2,614.68,-471.805,270.0,top
R3,609.6,-462.915,0.0,top
R4,614.68,-462.915,0.0,top
R5,600.71,-481.33,270.0,top
R6,600.71,-477.52,270.0,top
U1,398.78,-419.735,0.0,top
U14,455.94,-447.045,270.0,top
U15,632.46,-468.63,0.0,top
U16,424.815,-467.36,0.0,top
U17,509.895,-450.835,0.0,top
U2,398.78,-443.85,0.0,top
U25,537.21,-464.185,0.0,top
U26,434.34,-405.765,0.0,top
U27,516.89,-474.99,90.0,top
U28,471.17,-414.02,0.0,top
U29,596.89,-465.46,0.0,top
U3,410.835,-408.3,0.0,top
U30,608.32,-436.245,0.0,top
U31,489.585,-457.835,0.0,top
U32,411.48,-440.055,0.0,top
U34,651.51,-452.22,0.0,top
U35,651.51,-391.26,0.0,top
U36,651.51,-398.88,0.0,top
U37,651.51,-406.5,0.0,top
U38,651.51,-414.12,0.0,top
U39,651.51,-421.74,0.0,top
U4,514.97,-401.965,90.0,top
U40,651.51,-429.36,0.0,top
U41,651.51,-436.98,0.0,top
U42,651.51,-444.6,0.0,top
U43,453.38,-413.38,0.0,top
U44,463.55,-470.535,90.0,top
U45,606.425,-400.05,0.0,top
U46,487.67,-408.31,0.0,top
U47,512.45,-417.205,90.0,top
U48,557.53,-424.815,270.0,top
U49,531.485,-432.44,0.0,top
U5,558.8,-440.69,90.0,top
U50,498.46,-391.795,90.0,top
U51,555.625,-466.09,0.0,top
U52,575.935,-465.45,0.0,top
U53,584.835,-429.26,0.0,top
U54,586.73,-400.055,0.0,top
U6,562.615,-409.585,90.0,top
