Designator,Mid X,Mid Y,Rotation,Layer
Q1,580.247,-399.438,180.0,top
Q2,568.182,-399.438,180.0,top
Q3,556.117,-399.438,180.0,top
Q4,544.052,-399.438,180.0,top
Q5,531.987,-399.438,180.0,top
Q6,519.922,-399.438,180.0,top
Q7,507.857,-399.438,180.0,top
Q9,592.312,-399.438,180.0,top
R10,412.115,-251.46,270.0,top
R11,685.165,-257.175,270.0,top
R12,412.115,-312.42,270.0,top
R13,685.165,-318.135,270.0,top
R20,639.445,-400.05,0.0,top
R5,412.115,-129.54,270.0,top
R6,685.165,-135.255,270.0,top
R8,412.115,-190.5,270.0,top
R9,685.165,-196.215,270.0,top
SW1,648.97,-404.495,0.0,top
U1,680.085,-403.86,90.0,top
U10,686.425,-219.715,0.0,top
U11,485.956,-341.295,0.0,top
U12,410.835,-274.96,0.0,top
U13,686.425,-280.675,0.0,top
U18,410.835,-335.92,0.0,top
U19,686.425,-341.635,0.0,top
U20,611.324,-159.3875,0.0,top
U21,611.324,-220.3275,0.0,top
U22,611.324,-281.2875,0.0,top
U23,611.324,-342.2475,0.0,top
U24,681.34,-390.535,90.0,top
U33,626.73,-401.33,90.0,top
U4,410.835,-153.04,0.0,top
U5,485.956,-158.415,0.0,top
U6,686.425,-158.755,0.0,top
U7,485.956,-219.375,0.0,top
U8,410.835,-214.0,0.0,top
U9,485.956,-280.335,0.0,top
