Designator,Mid X,Mid Y,Rotation,Layer
D1,73.3473,-34.0522,180.0,top
R1,181.1573,-130.4722,0.0,top
R10,80.0773,-60.0522,270.0,top
R2,184.1573,-130.4722,0.0,top
R3,187.1573,-130.4722,0.0,top
R4,190.1573,-130.4722,0.0,top
R5,193.1573,-130.4722,0.0,top
R6,196.1573,-130.4722,0.0,top
R7,199.1573,-130.4722,0.0,top
R8,201.9373,-130.4722,0.0,top
R9,80.0773,-56.4122,270.0,top
U1,207.6573,-98.5522,0.0,top
U10,103.1523,-68.4772,270.0,top
U11,135.1573,-62.0522,270.0,top
U12,110.49,-118.11,90.0,top
U13,164.1573,-119.0522,90.0,top
U14,132.1573,-98.2522,90.0,top
U15,130.4973,-150.8222,270.0,top
U16,80.0,-83.18,0.0,top
U17,122.7373,-150.8222,270.0,top
U18,114.8673,-150.8222,270.0,top
U19,179.1573,-64.8222,0.0,top
U2,64.9223,-86.7022,0.0,top
U20,75.7373,-150.8222,270.0,top
U21,99.685,-96.515,0.0,top
U22,106.9973,-150.9722,270.0,top
U23,98.9973,-150.9722,270.0,top
U24,90.9973,-150.9722,270.0,top
U25,83.3673,-150.9722,270.0,top
U3,220.7723,-137.7022,0.0,top
U32,107.1573,-46.5522,180.0,top
U33,134.7023,-42.8672,180.0,top
U38,91.1573,-43.0522,0.0,top
U4,164.1573,-137.0522,0.0,top
U5,166.1373,-49.5822,0.0,top
U6,87.0723,-118.2722,270.0,top
U7,198.4173,-55.9322,0.0,top
U8,166.4573,-81.2372,0.0,top
U9,141.1573,-122.0522,0.0,top
